timestamp,location,temperature,pressure,humidity,gas
2025-06-09 14:04:44,office,29.4,985.84,24.203,
2025-06-09 14:04:45,office,29.42,985.84,24.214,12899.785249009643
2025-06-09 14:04:46,office,29.45,985.83,24.189,12428.479146947391
2025-06-09 14:04:47,office,29.48,985.84,24.157,12641.65203483415
2025-06-09 14:04:48,office,29.5,985.83,24.117,12990.732032654527
2025-06-09 14:04:49,office,29.52,985.82,24.098,13465.40556276729
2025-06-09 14:04:50,office,29.54,985.83,24.052,13993.775284929401
2025-06-09 14:04:51,office,29.55,985.8,24.014,14584.520427583486
2025-06-09 14:04:52,office,29.57,985.81,23.996,15112.854739808647
2025-06-09 14:04:53,office,29.58,985.81,23.96,15759.14219819186
2025-06-09 14:04:54,office,29.59,985.8,23.944,16305.348835348143
2025-06-09 14:04:55,office,29.61,985.81,23.921,16929.577365836158
2025-06-09 14:04:56,office,29.61,985.8,23.894,17505.94343418157
2025-06-09 14:04:57,office,29.61,985.8,23.889,18167.61181393906
2025-06-09 14:04:58,office,29.62,985.79,23.873,18705.555071049544
2025-06-09 14:04:59,office,29.62,985.82,23.851,19343.785313611377
2025-06-09 14:05:00,office,29.62,985.82,23.856,19865.16768137388
2025-06-09 14:05:01,office,29.62,985.81,23.841,20340.311539898226
2025-06-09 14:05:02,office,29.62,985.81,23.835,20937.40829743496
2025-06-09 14:05:03,office,29.62,985.82,23.825,21445.092800761027
2025-06-09 14:05:04,office,29.62,985.82,23.814,21956.185395414028
2025-06-09 14:05:05,office,29.62,985.82,23.814,22446.56620116463
2025-06-09 14:05:06,office,29.62,985.82,23.809,22935.536538453685
2025-06-09 14:05:07,office,29.62,985.81,23.814,24428.21123595941
2025-06-09 14:05:08,office,29.63,985.81,23.812,25007.85185155236
2025-06-09 14:05:09,office,29.63,985.81,23.812,25424.40165994243
2025-06-09 14:05:10,office,29.63,985.81,23.801,25839.970404344378
2025-06-09 14:05:11,office,29.62,985.81,23.804,26300.5670330946
2025-06-09 14:05:12,office,29.62,985.81,23.798,26794.091302517783
2025-06-09 14:05:13,office,29.62,985.81,23.804,27139.0731712369
2025-06-09 14:05:14,office,29.62,985.79,23.804,27647.603596381326
2025-06-09 14:05:15,office,29.61,985.78,23.798,28015.065106975027
2025-06-09 14:05:16,office,29.61,985.79,23.809,28447.166376739864
2025-06-09 14:05:25,office,29.63,985.81,23.806,31753.020073955435
2025-06-09 14:05:26,office,29.63,985.8,23.796,32075.147096322038
2025-06-09 14:05:27,office,29.63,985.8,23.801,32285.702771225428
